modelo,precision_5,recall_5,ndcg_5,raw_precision_5,raw_recall_5,raw_ndcg_5,coverage_pct,pvr_pre_pct,pvr_post_pct,filter_rate_pct,feasibility_at_5_pct
Popularidad,0.149,0.3562,0.2759,0.1464,0.346,0.2701,45.19,7.83,0.0,69.51,99.57
Random (baseline),0.024,0.0521,0.0583,0.0314,0.0666,0.0488,71.15,76.81,0.0,60.0,0.06
TF-IDF + Cosine,0.1107,0.2597,0.1885,0.0679,0.1492,0.1182,72.12,48.57,0.0,67.57,97.87
Híbrido SVD,0.0936,0.2169,0.1622,0.0742,0.1696,0.1364,59.62,28.98,0.0,69.51,99.57
NCF-MLP (PyTorch),0.0987,0.2201,0.1749,0.0465,0.104,0.0849,49.04,71.18,0.0,69.51,99.57
