source_id,source_name,organization,url,type,use,reliability,access_date
S1,Finanzas para Todos,CNMV y Banco de España,https://www.finanzasparatodos.es,Portal web educativo,Fuente principal de contenidos reales (presupuesto, ahorro, inversión, hipoteca, fraude, jubilación),Alta,2026-08-18
S2,Guías del inversor (índice de publicaciones),CNMV,https://www.cnmv.es/portal/publicaciones/guias?lang=es,Sección web institucional,Marco y materiales de educación financiera para inversores (defensa TFM),Alta,2026-08-18
S3,Portal Cliente Bancario,Banco de España,https://clientebancario.bde.es,Portal web institucional,Contenidos reales sobre cuentas, tarjetas, préstamos, hipotecas, comisiones y fraude,Alta,2026-08-18
S4,Plan de Educación Financiera 2022-2025,Ministerio de Asuntos Económicos + BdE + CNMV,https://www.cnmv.es/DocPortal/Publicaciones/PlanEducacion/Planeducacionfinanciera_22_25es.pdf,Documento estratégico PDF,Marco institucional y objetivos para España 2022-2025 (defensa TFM),Alta,2026-08-18
S5,OECD/INFE Toolkit 2026,OECD,https://www.oecd.org/content/dam/oecd/en/publications/reports/2026/01/oecd-infe-toolkit-for-measuring-financial-literacy-inclusion-and-well-being-2026_6e8d9566/92f2d439-en.pdf,Marco conceptual PDF,Definición operativa de conocimientos, comportamiento, actitud e inclusión financiera,Alta,2026-08-18
S6,PISA 2022 Financial Literacy Framework,OECD,https://www.oecd.org/content/dam/oecd/en/publications/reports/2023/08/pisa-2022-assessment-and-analytical-framework_a124aec8/dfe0bf9c-en.pdf,Marco conceptual PDF,Taxonomía oficial de contenidos y procesos para educación financiera de jóvenes,Alta,2026-08-18
S7,OECD/INFE 2023 International Survey of Adult Financial Literacy,OECD,https://www.oecd.org/content/dam/oecd/en/publications/reports/2023/12/oecd-infe-2023-international-survey-of-adult-financial-literacy_8ce94e2c/56003a32-en.pdf,Informe internacional DOI 10.1787/56003a32-en,Comparativa internacional 2023 e incluye España (defensa TFM),Alta,2026-08-18
S8,Encuesta de Competencias Financieras 2021 (segunda ola),Banco de España y CNMV,https://www.bde.es/wbe/es/publicaciones/analisis-economico-investigacion/encuesta-de-competencias-financieras/encuesta-de-competencias-financieras-2021.html,Informe nacional,Distribución real de conocimientos y perfiles financieros de la población española (ancla para calibrar usuarios sintéticos),Alta,2026-08-18
